Created,GME,NLTK_Compound,Blob Score
2020-01-14,4.705,0.0,0.6209097006556438
2020-01-15,4.6,-0.056366666666666634,0.6356576818199741
2020-01-24,4.32,-0.07543333333333334,0.6664471545066951
2020-02-06,4.14,0.0,0.916743023740108
2020-02-12,4.19,0.0,0.8634868421052634
2020-02-18,4.06,0.0,0.6661696703282358
2020-02-20,4.14,0.0,0.5
2020-02-27,3.47,-0.29600000000000004,0.6602435441980642
2020-03-09,3.71,0.4939,0.5936165196889389
2020-03-11,4.14,0.0,0.8642637296175035
2020-03-17,4.23,0.0,0.833333333333333
2020-03-18,3.78,0.01486666666666666,0.6482107162181149
2020-03-19,4.19,0.0,0.5808131639482261
2020-03-20,3.755,-0.0821,0.7449041937141997
2020-03-23,3.81,0.0,0.9796626981977292
2020-03-24,4.195,0.0,0.7244826712843199
2020-03-25,4.2,-0.05135,0.630767068693296
2020-03-26,4.405,-0.12247999999999999,0.6141869748050548
2020-03-27,4.2101,0.0,0.5708333333333331
2020-03-31,3.525,0.0,0.8032018232085489
2020-04-01,3.25,-0.1027,0.5580849685302305
2020-04-06,3.08,0.4497,0.8445901065919201
2020-04-13,4.75,0.0,0.6436362971447049
2020-04-14,5.93,-0.10198571428571428,0.6780501670263833
2020-04-17,4.87,0.0,0.6324064776422305
2020-04-21,4.785,0.0,0.7866575956459103
2020-04-23,4.685,0.0,0.5159749772415643
2020-04-27,5.82,0.0,0.6417844796314769
2020-04-28,5.62,0.53345,0.7347401785440626
2020-04-29,5.99,0.4404,0.5532318089874361
2020-04-30,5.73,0.4278,0.9360465116279064
2020-05-20,4.42,0.0,0.5
2020-05-27,4.681,0.0,0.6691703881546465
2020-06-02,4.18,0.0,0.5007836990595611
2020-06-04,4.47,0.8859999999999999,0.927412030981654
2020-06-10,5.06,0.0,0.6095612661828825
2020-06-17,4.76,0.0,0.5081959083721564
2020-06-18,4.92,0.0,0.5354166666666665
2020-07-01,4.44,0.4278,0.9044943820224731
2020-08-04,4.44,0.4374,0.6982430792664847
2020-08-12,4.53,0.0,0.537015953467694
2020-08-21,5.04,0.0,0.6927927611935558
2020-08-31,6.69,0.1426,0.7224927981832755
2020-09-01,7.66,0.2139,0.7182891425462052
2020-09-02,7.71,0.14386666666666667,0.5456387707465465
2020-09-03,7.81,0.1366,0.6308332181805227
2020-09-04,7.64,0.0,0.7846239539343699
2020-09-08,7.69,0.14800000000000002,0.7192067884590729
2020-09-09,7.35,-0.10845999999999999,0.7253758273333444
2020-09-10,6.2282,-0.0772,0.8572442742648301
2020-09-14,6.91,0.1953,0.64380229303922
2020-09-15,7.08,-0.2233,0.8026051134834052
2020-09-16,8.674808,-0.01908333333333333,0.6744807369291393
2020-09-17,9.2,0.0,0.5603455036230852
2020-09-18,9.45,-0.02054,0.5946177978777815
2020-09-21,8.75,0.1876,0.721483800626608
2020-09-22,10.555,0.055202941176470594,0.7089868163114064
2020-09-23,10.05,-0.2553,0.7454088972017765
2020-09-24,9.1352,0.25,0.7869430777744785
2020-09-25,10.02,0.02737833333333334,0.6761024481539015
2020-09-29,10.35,0.125,0.7375146153864723
2020-09-30,10.21,0.3429416666666667,0.8458293025205686
2020-10-01,9.77,0.0,0.6536664576288218
2020-10-02,9.39,-0.601,0.5901209607206714
2020-10-05,9.45,0.2620383333333334,0.6360284487600794
2020-10-06,9.14,0.6908,0.5291418500155152
2020-10-07,9.35,-0.27115,0.5694109015932366
2020-10-08,13.505,0.042268181818181816,0.6545154999465884
2020-10-09,12.03,0.04686833333333333,0.7020493886491393
2020-10-12,11.7903,0.01175555555555557,0.614606043939609
2020-10-13,11.87,-0.16888,0.6396518223255618
2020-10-14,12.25,0.07863875000000001,0.7069414654772773
2020-10-15,13.82,0.06771250000000001,0.6729417049029938
2020-10-16,13.31,0.10379090909090907,0.7076837454577047
2020-10-19,13.91,-0.1909,0.6628049632176439
2020-10-20,13.86,0.09183999999999999,0.7132924090216297
2020-10-21,14.095,-0.11105,0.6942916125844936
2020-10-22,14.91,0.16727999999999998,0.6753799169702097
2020-10-23,15.03,0.04792142857142858,0.6522759300378275
2020-10-26,13.495,0.1995888888888889,0.6810302353372183
2020-10-27,12.7,0.014500000000000002,0.6715803739878053
2020-10-28,11.81,0.3881111111111111,0.7543097646163255
2020-10-29,11.73,0.06788090909090908,0.7000391387286526
2020-10-30,10.4679,0.18216666666666667,0.6873587148535067
2020-11-02,10.75,0.2084,0.5308136871032639
2020-11-03,11.56,0.093725,0.7440721199551379
2020-11-04,10.9,-0.09534833333333331,0.6185674069213413
2020-11-06,11.87,0.0,0.5129759018964781
2020-11-09,11.5,0.005614999999999974,0.6656347705587315
2020-11-10,11.11,0.09916666666666668,0.7776697355821015
2020-11-11,11.76,-0.02754,0.6856936509583156
2020-11-12,11.14,-0.06245500000000002,0.6655401971034545
2020-11-13,11.115,0.0,0.5659221125609546
2020-11-16,12.07,-0.032240000000000005,0.5871136844129706
2020-11-17,11.64,0.15460166666666667,0.7721285341925437
2020-11-18,11.58,-0.14223333333333332,0.7546251078955276
2020-11-19,12.46,0.23252857142857145,0.7711479815558073
2020-11-20,12.71,0.15940333333333334,0.7034494874700681
2020-11-23,13.9,0.08536666666666666,0.6143594137869076
2020-11-24,13.68,0.014228571428571429,0.6320931483425635
2020-11-25,14.75,0.09441166666666667,0.6726886592042822
2020-11-27,16.05,0.10383333333333332,0.677950292039194
2020-11-30,16.5678,0.12133344086021505,0.7006698687732018
2020-12-01,15.81,0.006408333333333336,0.6587982782582746
2020-12-02,16.59,-0.05268333333333333,0.650416665498783
2020-12-03,16.12,0.05386666666666666,0.6982399980857643
2020-12-04,16.91,0.03650833333333333,0.6247567724463131
2020-12-07,16.32,0.01920000000000001,0.6469141821452583
2020-12-08,16.92,0.11666933333333333,0.7274739926421441
2020-12-09,13.6576,0.07805853658536585,0.6549835518585365
2020-12-10,14.12,0.161653125,0.6904769563144592
2020-12-11,13.31,0.028121428571428582,0.6911705061101985
2020-12-14,12.72,0.09068571428571427,0.7649886618390658
2020-12-15,13.87,0.00484166666666664,0.645265745570736
2020-12-16,13.85,0.026359999999999998,0.6060065978836731
2020-12-17,14.83,0.19636287878787886,0.6993575635991545
2020-12-18,15.63,0.23358413461538463,0.6609483304727433
2020-12-21,15.5202,0.008711111111111109,0.7118708343056206
2020-12-22,19.43,0.08706377192982456,0.6482100488694554
2020-12-23,20.58,0.13231014492753618,0.6383355278121244
2020-12-24,20.2,0.011224137931034488,0.6906772470653443
2020-12-28,20.98,0.006084615384615378,0.6885573704014211
2020-12-29,19.37,0.117376,0.7070407636866126
2020-12-30,19.26,0.04405833333333334,0.6740447330331749
2020-12-31,18.81,0.13514142857142852,0.7074700669320979
2021-01-04,17.24,0.12112589743589747,0.7009521991959395
2021-01-05,17.36,0.08700425531914892,0.6581321183919207
2021-01-06,18.39,0.16474763440860213,0.6955497702759019
2021-01-07,18.12,0.023384210526315792,0.738900341718965
2021-01-08,17.6899,0.12286541666666666,0.7058679910821464
2021-01-11,19.93,0.05918125,0.6690708560060449
2021-01-12,19.94,0.08227254901960782,0.7378996733462078
2021-01-13,31.44,0.1177013468013468,0.6746524609359861
2021-01-14,39.9184,0.08767818273092372,0.7141122948358447
2021-01-15,35.49,0.10995125000000004,0.6719716667378393
2021-01-19,39.51,0.08250505050505051,0.6817087688867448
2021-01-20,39.12,0.08318075313807533,0.6925876885490947
2021-01-21,43.02,0.025596551724137957,0.6815665801271189
2021-01-22,64.85,0.10259281767955797,0.6744787781133745
