Created,NIO,NLTK_Compound,Blob Score
2020-01-03,3.83,0.0,0.5447004383944437
2020-01-06,3.69,-0.0593,0.7389459240867545
2020-01-14,3.78,0.5106,0.573220516829709
2020-01-15,4.29,0.14615999999999998,0.6869003028909575
2020-01-16,4.37,0.125,0.6775574583139465
2020-01-17,4.67,0.21982,0.6112989533975528
2020-01-21,5.17,0.0,0.6749915399485387
2020-01-22,4.8,-0.0051600000000000005,0.664657847837186
2020-01-23,4.88,0.36755,0.8295238017017784
2020-01-27,4.0059,0.2202,0.7215944594367909
2020-01-28,4.2,-0.08900000000000001,0.6549410862460204
2020-01-30,4.08,0.0,0.7295751825677209
2020-02-04,4.51,-0.1779,0.7369029424261684
2020-02-06,4.08,0.0,0.75
2020-02-07,3.81,0.0,0.5021820448877805
2020-02-12,4.07,0.29600000000000004,0.5889456741992547
2020-02-20,4.26,0.0,0.7566422157994861
2020-02-21,4.08,-0.3595,0.7252475247524751
2020-02-25,4.42,0.1911142857142857,0.6629426395118232
2020-02-27,4.14,0.4404,0.8622515273526673
2020-03-16,2.95,0.0,0.5892857142857141
2020-03-17,2.9,-0.1114,0.6316511547268604
2020-03-19,2.38,0.3182,0.6127373170518319
2020-04-01,2.64,0.0,0.5
2020-04-02,2.3849,0.08333333333333333,0.6291316821989404
2020-04-24,2.945,0.0,0.6940781459249704
2020-05-22,3.2596,0.2732,0.5761230363444461
2020-05-29,3.9799,-0.7004,0.7717613651860571
2020-06-09,6.68,0.0,0.5059846513694097
2020-06-18,7.18,0.0,0.8761626279969006
2020-06-22,7.44,0.0,0.5635506080114447
2020-06-24,6.85,0.2978,0.6734919371500795
2020-06-30,7.72,0.0,0.6499999999999997
2020-07-02,9.38,-0.1645,0.5662654150870723
2020-07-06,11.51,0.18994444444444444,0.6442547801274174
2020-07-07,13.23,0.04214285714285715,0.6538602997586002
2020-07-08,12.88,0.1688125,0.7316521270359493
2020-07-09,14.5602,0.1839142857142857,0.5890114572443681
2020-07-10,15.0,0.038757142857142865,0.6807333968825372
2020-07-13,13.84,0.16525555555555554,0.6656674628950405
2020-07-14,14.09,-0.05103333333333334,0.8139859199354279
2020-07-15,13.52,0.0,0.5842008193206247
2020-07-16,12.95,-0.07355,0.6975136269666191
2020-07-17,11.0875,0.03233076923076924,0.6816194916873951
2020-07-20,12.82,0.0,0.7468888822008689
2020-07-21,12.88,0.0,0.8161996007426645
2020-07-22,12.38,0.0,0.5558115021640123
2020-07-24,11.81,0.6996,0.7846579671845396
2020-07-30,12.2,0.0,0.6224489795918365
2020-07-31,11.94,-0.5267,0.5035282963917842
2020-08-03,13.6,0.0060000000000000045,0.5961087596724531
2020-08-04,13.64,0.22456666666666664,0.7199193229839486
2020-08-05,13.92,-0.10115,0.6163925997098025
2020-08-06,13.84,0.0,0.6047680342109167
2020-08-10,14.2,0.2192,0.5910893136790554
2020-08-11,12.99,-0.09292,0.6805013341812776
2020-08-12,13.36,-0.046249999999999986,0.5742708494956407
2020-08-13,,0.017250000000000015,0.6153029862722827
2020-08-14,,0.1468,0.8367245539078212
2020-08-17,14.05,0.25,0.7330454761204975
2020-08-18,14.3,0.0,0.55121927920869
2020-08-19,14.06,0.0,0.6776675109993587
2020-08-20,13.785,0.3509666666666667,0.5626238667712106
2020-08-21,14.12,-0.21335,0.6582890566835291
2020-08-24,14.97,0.0,0.7079070358369418
2020-08-25,17.86,0.045725,0.6510942730689816
2020-08-26,20.43,0.13261249999999994,0.7214311572716057
2020-08-27,19.88,0.0,0.6479612647230404
2020-08-31,19.04,0.35015,0.6520450642525817
2020-09-01,20.12,0.0,0.5227431122464563
2020-09-02,19.93,0.0,0.5326743084949481
2020-09-03,18.7,-0.1953,0.6161272132376229
2020-09-04,17.9699,0.190775,0.5357558020188604
2020-09-08,17.01,0.12833999999999998,0.5867045669488936
2020-09-09,18.09,0.20693333333333333,0.5142772821688175
2020-09-10,17.74,0.0,0.7055967449204069
2020-09-11,17.965,0.34,0.5127255523447763
2020-09-16,19.015,0.21286666666666668,0.6371846359720079
2020-09-17,19.2901,0.0,0.6098901098901099
2020-09-21,18.8002,-0.00638611111111111,0.734251546667926
2020-09-22,19.22,-0.04547499999999999,0.7048811962318992
2020-09-23,17.96,0.0,0.5757467805444575
2020-09-25,18.32,0.04459833333333333,0.8176306877340465
2020-09-28,18.805,0.3612,0.6385862161747997
2020-09-29,20.85,0.0,0.6247669995776044
2020-09-30,21.2,0.032248333333333344,0.6807476759117861
2020-10-01,21.76,0.033925,0.8331740913202074
2020-10-02,21.2,0.22795,0.7397819369053973
2020-10-05,21.6,0.27354666666666666,0.6110840026673136
2020-10-07,21.55,0.0,0.5919305853817012
2020-10-09,21.48,0.05193833333333333,0.6553204387502367
2020-10-12,21.85,0.142975,0.5524048190417894
2020-10-13,21.61,-0.2813,0.6135161749076552
2020-10-14,26.5,0.24929771929824562,0.6695938534256941
2020-10-15,28.08,-0.026989473684210518,0.5849145212998815
2020-10-16,28.4799,-0.14701999999999998,0.556382080393494
2020-10-19,27.65,-0.008400000000000019,0.7599284879818597
2020-10-20,27.96,0.0242,0.693669775601624
2020-10-21,27.866,-0.016850000000000004,0.6435907795279188
2020-10-22,27.4016,-0.1702,0.6714390618523547
2020-10-23,27.16,-0.09038333333333333,0.6082060830062056
2020-10-26,26.01,-0.1655,0.7666977759311969
2020-10-27,28.45,0.29295,0.6707924863272039
2020-10-28,27.52,-0.1531,0.7648509099857099
2020-10-29,32.0,0.1468616666666667,0.6808841168061717
2020-10-30,30.57,0.2767,0.6878672458532579
2020-11-02,33.32,0.14368888888888887,0.5901435056190087
2020-11-03,35.51,0.10882727272727273,0.6184390092088147
2020-11-04,37.71,0.11618770833333333,0.7043964360450099
2020-11-05,42.42,0.34,0.7960521462793975
2020-11-06,41.64,0.10785,0.6764481684207889
2020-11-09,44.06,0.15793947916666667,0.6898168510193438
2020-11-10,41.5489,0.02842307692307692,0.6550089903464246
2020-11-11,43.07,0.031745454545454535,0.6365679593113506
2020-11-12,48.3427,0.11582113821138211,0.6785833118755955
2020-11-13,43.7247,0.04102451612903227,0.6681403691929089
2020-11-16,45.5799,0.025549019607843136,0.6424421275525708
2020-11-17,46.5599,0.049964666666666664,0.6459130499915684
2020-11-18,45.1,-0.007642307692307692,0.6633031638985725
2020-11-19,48.47,0.09053846153846154,0.642265969811789
2020-11-20,49.25,0.07416387096774193,0.7079336672732541
2020-11-23,55.51,0.016527450980392155,0.6605497274046244
2020-11-24,53.51,-0.011967307692307694,0.645669765738229
2020-11-25,53.69,0.04611229166666668,0.6827890536277667
2020-11-27,54.0,0.02856271186440678,0.6415262609910002
2020-11-30,50.5456,0.018065208333333332,0.717015457732922
2020-12-01,45.36,0.012872222222222224,0.6771034255467057
2020-12-02,47.95,0.06761212121212119,0.686603402571044
2020-12-03,45.34,0.05548500000000001,0.708127241212476
2020-12-04,43.03,0.21822857142857144,0.6444710960058104
2020-12-07,45.11,-0.0007999999999999785,0.7672520051745744
2020-12-08,46.56,0.04477666666666666,0.7031486887915399
2020-12-09,44.01,0.0,0.668742075110281
2020-12-10,45.22,0.19321666666666668,0.668884077425706
2020-12-11,41.98,0.043306666666666674,0.6304289972899527
2020-12-14,41.0,0.05497142857142857,0.7819309023572548
2020-12-15,43.4901,0.13076380952380953,0.6906021897462813
2020-12-16,44.67,0.10238999999999998,0.6536769409545328
2020-12-17,46.025,0.2987,0.6495168250870604
2020-12-18,46.543,0.08335624999999999,0.7098616925753047
2020-12-21,48.98,0.12145,0.668048572021342
2020-12-22,47.6,0.08974500000000003,0.6574323961327211
2020-12-23,47.01,0.02713333333333333,0.6751512394349363
2020-12-24,45.77,0.13865999999999998,0.7523856085835574
2020-12-28,44.055,-0.7531,0.6867125400676068
2020-12-29,46.11,0.08077142857142859,0.7247044808110188
2020-12-30,48.365,0.10440666666666666,0.6914274565420055
2020-12-31,48.74,0.06961666666666666,0.6420530224118267
2021-01-04,53.4816,0.14881833333333333,0.6564235467755252
2021-01-05,53.2,0.0471090909090909,0.6871213292224146
2021-01-06,50.5234,0.027974999999999993,0.7026352985920081
2021-01-07,54.25,-0.03314285714285714,0.7033377728175595
2021-01-08,58.91,0.149485,0.6699884218711336
2021-01-11,62.725,0.1631,0.6943253349669517
2021-01-12,61.94,0.04122675438596491,0.6587011177240772
2021-01-13,62.1301,0.14761363636363636,0.6676136086869104
2021-01-14,60.88,0.13391642857142858,0.7096913694139872
2021-01-15,56.27,0.17312,0.7099639510171443
2021-01-19,58.45,0.37212222222222224,0.6714483151211016
2021-01-20,57.71,0.11408,0.7306224059722339
2021-01-21,58.32,0.19871666666666665,0.6771601172996418
2021-01-22,61.95,0.3527888888888888,0.6806032053676432
